,Orpha_code,Orphanet_disorder,ICD_10,Relationship,Description,Genes,Orpha Code,ICD-11 code
0,166024,"Multiple epiphyseal dysplasia, Al-Gazali type",Q77.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1,58,Alexander disease,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
2,166032,"Multiple epiphyseal dysplasia, with miniepiphyses",Q77.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
3,61,Alpha-mannosidosis,E77.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
4,166029,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",Q77.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
5,166038,"Metaphyseal chondrodysplasia, Kaitila type",Q78.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
6,93,Aspartylglucosaminuria,E77.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
7,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
8,585,Multiple sulfatase deficiency,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
9,118,Beta-mannosidosis,E77.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
10,141,Canavan disease,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
11,166063,Pontocerebellar hypoplasia type 4,Q04.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
12,166078,Von Willebrand disease type 1,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
13,166073,Pontocerebellar hypoplasia type 6,Q04.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
14,213,Cystinosis,E72.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
15,166084,Von Willebrand disease type 2A,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
16,333,Farber disease,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
17,166081,Von Willebrand disease type 2,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
18,349,Fucosidosis,E77.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
19,166090,Von Willebrand disease type 2M,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
20,365,Glycogen storage disease due to acid maltase deficiency,E74.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
21,166087,Von Willebrand disease type 2B,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
22,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,E74.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
23,166093,Von Willebrand disease type 2N,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
24,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,E74.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
25,166096,Von Willebrand disease type 3,D68.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
26,367,Glycogen storage disease due to glycogen branching enzyme deficiency,E74.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
27,166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Q87.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
28,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,E74.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
29,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,G71.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
30,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,E74.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
31,447,Paroxysmal nocturnal hemoglobinuria,D59.5,E (Exact mapping: the two concepts are equivalent),,,,
32,166108,"Intellectual disability, Birk-Barel type",Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
33,535,Rare cutaneous lupus erythematosus,L93.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
34,535,Rare cutaneous lupus erythematosus,L93.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
35,535,Rare cutaneous lupus erythematosus,L93.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
36,166119,Isolated osteopoikilosis,Q78.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
37,487,Krabbe disease,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
38,166260,Dentinogenesis imperfecta type 2,K00.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
39,166265,Dentinogenesis imperfecta type 3,K00.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
40,583,Mucopolysaccharidosis type 6,E76.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
41,166272,Odontochondrodysplasia,Q78.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
42,576,Mucolipidosis type II,E77.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
43,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Q78.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
44,812,Sialidosis type 1,E77.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
45,166282,Familial sick sinus syndrome,I49.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
46,578,Mucolipidosis type IV,E75.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
47,166286,Porokeratotic eccrine ostial and dermal duct nevus,Q82.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
48,577,Mucolipidosis type III,E77.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
49,166291,Dirofilariasis,B74.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
50,166295,Benign non-familial infantile seizures,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
51,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,G40.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
52,166305,Benign infantile seizures associated with mild gastroenteritis,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
53,2912,Poliomyelitis,A80.4,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
54,2912,Poliomyelitis,A80.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
55,2912,Poliomyelitis,A80.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
56,2912,Poliomyelitis,A80.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
57,2912,Poliomyelitis,A80.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
58,2912,Poliomyelitis,A80.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
59,166302,Benign partial epilepsy with secondarily generalized seizures in infancy,G40.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
60,166299,Benign partial epilepsy of infancy with complex partial seizures,G40.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
61,796,Sandhoff disease,E75.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
62,166409,Photosensitive epilepsy,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
