Description	Genes	Orpha Code	ICD-11 code
"Hereditary Nonpolyposis Colorectal Cancer (HNPCC, Lynch syndrome)"	"MLH1, MSH2, MSH6, PMS2, EPCAM"	144	GB90.42
Familial Melanoma (malignant melanoma)	"CDK4, CDKN2A (p16INK4), MC1R, MITF, XRCC3, BAP1, POT1, TERF21P, TERT, ACD"	618	XH4846
Carney-Stratakis syndrome (familial paraganglioma and gastrointestinal stromal tumor)	"SDHB, SDHC, SDHD"	97286	5A70.Y
"Familial Isolated Pituitary Adenoma (FIPA, incl. Familial Isolated Somatotropinomas, FIS, IFS, Familial Acromegaly)"	 AIP	314777	NA
Li-Fraumeni Syndrome (LFS)	TP53	524	NA
Familial Acute Myeloid Leukemia (AML)	 CEBPA	319465	NA
Familial Pheochromocytoma (Adrenal)	"MAX, TMEM127, VHL"	29072	NA
Aicardi Syndrome	AIC#	50	NA
Bloom Syndrome	BLM	125	NA
Familial Clustering of Chordoma	T/TFT	178	NA
Costello Syndrome (Facio-Cutaneous-Skeletal syndrome)	HRAS	3071	NA
"Cowden Syndrome (CS, Multiple Hamartoma Syndrome, PTEN hamartoma tumour syndrome (PHTS)"	"ATK1, KILLIN, PIK3CA, PTEN, SDHB, SDHD"	201	NA
Denys-Drash Syndrome (Early Onset Nephrotic Syndrome-WT1 associated)	WT1	220	NA
Hereditary Desmoid Disease (Familial Infiltrative Mesenteric Fibromatosis)	 APC	873	NA
"Diamond-Blackfan Anemia (DBA, Congenital Hypoplastic Anemia, Blackfan-Diamond Anemia, incl.: Aase syndrome)"	RPS19	124	NA
"Congenital Dyskeratosis (Zinsser-Engman-Cole syndrome, Dyskeratosis Congenita)"	"DKC1, TERC, TERT, TINF2"	1775	NA
"Ollier disease / Maffuci syndrome (Osteochondromatosis, Enchondromatosis)"	"IDH1, IDH2, PTHR1"	296	NA
Frasier Syndrome	WT1	347	NA
"Familial Adenomatous Polyposis (FAP,  Gardner syndrome., Attenuated FAP)"	APC	733	NA
Noonan Syndrome 	"CBL, KRAS, NRAS, PTPN11, RAF1, SOS1"	648	NA
McCune-Albright Syndrome (Polyostotic Fibrous Dysplasia; MAS)	GNAS1	562	NA
