Orpha_code	Orphanet_disorder	ICD_10	Relationship
166024	Multiple epiphyseal dysplasia, Al-Gazali type	Q77.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
58	Alexander disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166032	Multiple epiphyseal dysplasia, with miniepiphyses	Q77.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
61	Alpha-mannosidosis	E77.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Q77.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166038	Metaphyseal chondrodysplasia, Kaitila type	Q78.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
93	Aspartylglucosaminuria	E77.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
585	Multiple sulfatase deficiency	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
118	Beta-mannosidosis	E77.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
141	Canavan disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166063	Pontocerebellar hypoplasia type 4	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166078	Von Willebrand disease type 1	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166073	Pontocerebellar hypoplasia type 6	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
213	Cystinosis	E72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166084	Von Willebrand disease type 2A	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
333	Farber disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166081	Von Willebrand disease type 2	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
349	Fucosidosis	E77.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166090	Von Willebrand disease type 2M	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
365	Glycogen storage disease due to acid maltase deficiency	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166087	Von Willebrand disease type 2B	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166093	Von Willebrand disease type 2N	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166096	Von Willebrand disease type 3	D68.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
367	Glycogen storage disease due to glycogen branching enzyme deficiency	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166105	FASTKD2-related infantile mitochondrial encephalomyopathy	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
447	Paroxysmal nocturnal hemoglobinuria	D59.5	E (Exact mapping: the two concepts are equivalent)
166108	Intellectual disability, Birk-Barel type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
535	Rare cutaneous lupus erythematosus	L93.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
535	Rare cutaneous lupus erythematosus	L93.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
535	Rare cutaneous lupus erythematosus	L93.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
166119	Isolated osteopoikilosis	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
