Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Rare_Diseases_AutoRIF_Gene_Lists	Lubinsky syndrome	1/13	0.0006499833083207112	0.0099917180590271	0	0	19987.0	146675.87616784443	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Rectal cancer childhood	1/19	0.00094997806231055	0.0099917180590271	0	0	19981.0	139049.2109571672	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Senter syndrome	1/22	0.0010999756574123	0.0099917180590271	0	0	19978.0	136099.47030191717	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Desmoid disease hereditary	1/23	0.0011499748819949	0.0099917180590271	0	0	19977.0	135204.63922267244	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Hidradenocarcinoma	1/34	0.0016999670339032	0.0099917180590271	0	0	19966.0	127326.1054203148	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Phacomatosis fourth	1/41	0.0020499625466866	0.0099917180590271	0	0	19959.0	123544.88783416104	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Hairy tongue	1/45	0.0022499601197094	0.0099917180590271	0	0	19955.0	121662.49782449217	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Manouvrier syndrome	1/46	0.0022999595269283	0.0099917180590271	0	0	19954.0	121217.8313311442	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Rabson-Mendenhall syndrome	1/46	0.0022999595269283	0.0099917180590271	0	0	19954.0	121217.8313311442	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Acanthoma	1/52	0.0025999560757154	0.0099917180590271	0	0	19948.0	118735.69700320112	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Leprechaunism	1/58	0.0028999527887707	0.0099917180590271	0	0	19942.0	116522.31890946148	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Juvenile polyposis syndrome	1/59	0.0029499522555206	0.0099917180590271	0	0	19941.0	116175.59385530632	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Attenuated FAP	1/61	0.0030499512001654	0.0099917180590271	0	0	19939.0	115499.24335773686	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Turcot syndrome	1/67	0.0033499481224912	0.0099917180590271	0	0	19933.0	113594.38808369274	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Muir-Torre syndrome	1/68	0.0033999476216189	0.0099917180590271	0	0	19932.0	113293.39338050144	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Infantile myofibromatosis	1/70	0.0034999466296654	0.0099917180590271	0	0	19930.0	112704.30065625212	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Renal pelvis and ureter transitional cell cancer	1/74	0.0036999446830449	0.0099917180590271	0	0	19926.0	111574.38983110404	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Choroid plexus carcinoma	1/76	0.0037999437281752	0.0099917180590271	0	0	19924.0	111031.8499691117	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Cafe au lait spots multiple	1/97	0.0048499343304706	0.0099917180590271	0	0	19903.0	106058.9096435903	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Pheochromocytoma-islet cell tumor syndrome	1/100	0.0049999330710556	0.0099917180590271	0	0	19900.0	105436.78197328727	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Neurofibromatosis	1/100	0.0049999330710556	0.0099917180590271	0	0	19900.0	105436.78197328727	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Xeroderma pigmentosum	1/101	0.0050499326546803	0.0099917180590271	0	0	19899.0	105233.48101229242	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Hypergonadotropic ovarian failure familial or sporadic	1/101	0.0050499326546803	0.0099917180590271	0	0	19899.0	105233.48101229242	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	N syndrome	1/101	0.0050499326546803	0.0099917180590271	0	0	19899.0	105233.48101229242	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Paramyotonia congenita	1/101	0.0050499326546803	0.0099917180590271	0	0	19899.0	105233.48101229242	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Familial colorectal cancer	1/102	0.0050999322416682	0.0099917180590271	0	0	19898.0	105032.15064717118	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Oligoastrocytoma	1/102	0.0050999322416682	0.0099917180590271	0	0	19898.0	105032.15064717118	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Ovarian cancer	1/102	0.0050999322416682	0.0099917180590271	0	0	19898.0	105032.15064717118	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Urethral cancer	1/103	0.0051499318302617	0.0099917180590271	0	0	19897.0	104832.7525292024	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	West syndrome	1/103	0.0051499318302617	0.0099917180590271	0	0	19897.0	104832.7525292024	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Bloom syndrome	1/103	0.0051499318302617	0.0099917180590271	0	0	19897.0	104832.7525292024	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Small intestine cancer	1/103	0.0051499318302617	0.0099917180590271	0	0	19897.0	104832.7525292024	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Van Benthem-Driessen-Hanveld syndrome	1/104	0.0051999314202997	0.0099917180590271	0	0	19896.0	104635.24941415618	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Van Bogaert-Hozay syndrome	1/104	0.0051999314202997	0.0099917180590271	0	0	19896.0	104635.24941415618	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	German syndrome	1/104	0.0051999314202997	0.0099917180590271	0	0	19896.0	104635.24941415618	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Brain tumor adult	1/105	0.0052499310129617	0.0099917180590271	0	0	19895.0	104439.60512106394	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Familial adenomatous polyposis	1/106	0.0052999306076525	0.0099917180590271	0	0	19894.0	104245.78450366124	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	MYH-associated polyposis	1/106	0.0052999306076525	0.0099917180590271	0	0	19894.0	104245.78450366124	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Anaplastic oligoastrocytoma	1/106	0.0052999306076525	0.0099917180590271	0	0	19894.0	104245.78450366124	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Anemia due to Adenosine triphosphatase deficiency	1/106	0.0052999306076525	0.0099917180590271	0	0	19894.0	104245.78450366124	MSH6
Rare_Diseases_AutoRIF_Gene_Lists	Fanconi anemia	1/107	0.0053499302026925	0.0099917180590271	0	0	19893.0	104053.753408911	MSH6
