,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
0,5,A2ML1,610627,,,Noonan syndrome,Disease-causing germline mutation(s) in,"Total cholesterol levels[28334899];Small cell lung carcinoma[28604730];Cholesterol, total[24097068];",0.6628220858895706,0.5097988653945332,0.021404333072304882,0.03806015960712093
1,12,AAAS,605378,231550;,,Triple A syndrome,Disease-causing germline mutation(s) in,,0.923680981595092,0.0817431665807117,0.6436961628817541,0.677255985267035
2,22,AAGAB,614888,148600;,,Punctate palmoplantar keratoderma type 1,Disease-causing germline mutation(s) (loss of function) in,Allergic rhinitis[30013184];Asthma[29273806;29273806];,0.752760736196319,0.16039195461578132,0.08248499086400418,0.18615715162676488
3,29,AARS,601065,613287;616339;,"[MIM:613287]Charcot-Marie-Tooth disease 2N;[MIM:616339]Epileptic encephalopathy, early infantile, 29;",Autosomal dominant Charcot-Marie-Tooth disease type 2N;Undetermined early-onset epileptic encephalopathy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,,0.752760736196319,0.40587931923671994,0.23701383450796137,0.2523020257826888
4,30,AARS2,612035,614096;615889;,"[MIM:614096]Combined oxidative phosphorylation deficiency 8;[MIM:615889]Leukoencephalopathy, progressive, with ovarian failure [recessive?];",Combined oxidative phosphorylation defect type 8;Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia;Ovarioleukodystrophy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,,0.9030674846625767,0.04100051572975761,0.3466457843904986,0.14379987722529158
5,35,AASS,605113,238700;616034;,"[MIM:238700]Hyperlysinemia, 1 [recessive?];[MIM:616034]2,4-dienoyl-CoA reductase deficiency [recessive?];",Saccharopinuria;Hyperlysinemia,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.8685889570552148,0.0814853017019082,0.5664317410597756,0.4854205033763045
6,41,ABAT,137150,613163;,,Gamma-aminobutyric acid transaminase deficiency,Disease-causing germline mutation(s) in,Anger[24489884];Menopause (age at onset)[26414677];Bronchopulmonary dysplasia in preterm infants[30113228];,0.38061349693251534,0.2114492006188757,0.7214826416079353,0.7826887661141805
7,42,ABCA1,600046,205400;604091;,[MIM:205400]High density lipoprotein deficiency 1;[MIM:604091]High density lipoprotein deficiency 2 [dominant?];,Apolipoprotein A-I deficiency;Tangier disease,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,"Response to fenofibrate (total cholesterol levels)[27002377];Glaucoma[30054594;30054594];Advanced age-related macular degeneration[26691988];Waist-to-hip ratio adjusted for BMI in active individuals[28448500;28448500;28448500;28448500];Gout[22179738];Pelvic organ prolapse[26545240;26545240];Metabolic syndrome[22399527];Glaucoma (primary open-angle)[25173105;29452408;29891935;29891935;29891935];Total cholesterol levels[29403010;28334899;28334899;28334899];Itch intensity from mosquito bite adjusted by bite size[28199695];Allergic rhinitis[25085501];Cardiometabolic and hematological traits[27668658];Cholesterol, total[20686565;24097068;25961943;26582766];Waist-to-hip ratio adjusted for body mass index[28448500;28448500;28448500;25673412;25673412;25673412;25673412;28448500];Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)[28443625;28443625];Whole-brain volume (Alzheimer's disease interaction)[21116278];Lung cancer in ever smokers[28604730];Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)[28448500;28448500;28448500;28448500];Metabolite levels (lipoprotein measures)[27005778];Coronary artery disease[29212778;29212778];HDL cholesterol[21909109;20686565;20864672;18193044;19060911;23505323;21347282;19060906;24097068;26780889;25961943;26582766;28270201;18193043];Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1)[26503814;26503814;26503814];HDL cholesterol levels[28334899;28334899;28334899];Lipid metabolism phenotypes[22286219];Aluminium levels[26025379];Glaucoma (high intraocular pressure)[25173107];Myopia (pathological)[23049088];Metabolite levels[22916037];High density lipoprotein cholesterol levels[29615537;29403010];Periodontitis (Mean PAL)[24024966];Intraocular pressure[28073927;28073927;25173106;29617998;29617998;29235454;30054594;29785010];Low high density lipoprotein cholesterol levels[26879886];",0.5128834355828221,0.5500257864878804,0.07413208039676325,0.9027010435850215
8,44,ABCA3,601615,610921;,[MIM:610921]Pulmonary surfactant metabolism dysfunction 3;,Idiopathic pulmonary fibrosis;Interstitial lung disease due to ABCA3 deficiency;Infant acute respiratory distress syndrome,Candidate gene tested in;Disease-causing germline mutation(s) (loss of function) in;Candidate gene tested in,RR interval (tricyclic/tetracyclic antidepressant use interaction)[28039329];,0.3492024539877301,0.6766374419804023,0.5324980422866092,0.929097605893186
9,45,ABCA4,601691,153800;248200;601718;604116;,"[MIM:248200]Fundus flavimaculatus;[MIM:153800]Macular degeneration, age-related, 2;[MIM:604116]Cone-rod dystrophy 3;[MIM:601718]Retinitis pigmentosa 19;",Stargardt disease;Retinitis pigmentosa;Cone rod dystrophy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,D-dimer levels[21502573];Dialysis-related mortality[21546767];Palmitoleic acid (16:1n-7) levels[23362303];Nonsyndromic cleft lip with cleft palate[28232668];,0.038773006134969326,0.09179989685404848,0.07387105194466197,0.9677716390423573
